ID	X1	X2	ROW	COL
753	1	2	17	18
754	1	2	17	19
755	1	2	17	20
756	1	2	17	21
757	1	2	18	1
758	1	2	18	2
759	1	2	18	3
760	1	2	18	4
761	1	2	18	5
762	1	2	18	6
763	1	2	18	7
764	1	2	18	8
765	1	2	18	9
766	1	2	18	10
767	1	2	18	11
768	1	2	18	12
769	1	2	18	13
770	1	2	18	14
771	1	2	18	15
772	1	2	18	16
773	1	2	18	17
774	1	2	18	18
775	1	2	18	19
776	1	2	18	20
777	1	2	18	21
778	1	2	19	1
779	1	2	19	2
780	1	2	19	3
781	1	2	19	4
782	1	2	19	5
783	1	2	19	6
784	1	2	19	7
785	1	2	19	8
786	1	2	19	9
787	1	2	19	10
788	1	2	19	11
789	1	2	19	12
790	1	2	19	13
791	1	2	19	14
792	1	2	19	15
793	1	2	19	16
794	1	2	19	17
795	1	2	19	18
796	1	2	19	19
797	1	2	19	20
798	1	2	19	21
799	1	3	1	1
800	1	3	1	2
801	1	3	1	3
802	1	3	1	4
803	1	3	1	5
804	1	3	1	6
805	1	3	1	7
806	1	3	1	8
807	1	3	1	9
808	1	3	1	10
809	1	3	1	11
810	1	3	1	12
811	1	3	1	13
812	1	3	1	14
813	1	3	1	15
814	1	3	1	16
815	1	3	1	17
816	1	3	1	18
817	1	3	1	19
818	1	3	1	20
819	1	3	1	21
820	1	3	2	1
821	1	3	2	2
822	1	3	2	3
823	1	3	2	4
824	1	3	2	5
825	1	3	2	6
826	1	3	2	7
827	1	3	2	8
828	1	3	2	9
829	1	3	2	10
830	1	3	2	11
831	1	3	2	12
832	1	3	2	13
833	1	3	2	14
834	1	3	2	15
835	1	3	2	16
836	1	3	2	17
837	1	3	2	18
838	1	3	2	19
839	1	3	2	20
840	1	3	2	21
841	1	3	3	1
842	1	3	3	2
843	1	3	3	3
844	1	3	3	4
845	1	3	3	5
846	1	3	3	6
847	1	3	3	7
848	1	3	3	8
849	1	3	3	9
850	1	3	3	10
851	1	3	3	11
852	1	3	3	12
853	1	3	3	13
854	1	3	3	14
855	1	3	3	15
856	1	3	3	16
857	1	3	3	17
858	1	3	3	18
859	1	3	3	19
860	1	3	3	20
861	1	3	3	21
862	1	3	4	1
863	1	3	4	2
864	1	3	4	3
865	1	3	4	4
866	1	3	4	5
867	1	3	4	6
868	1	3	4	7
869	1	3	4	8
870	1	3	4	9
871	1	3	4	10
872	1	3	4	11
873	1	3	4	12
874	1	3	4	13
875	1	3	4	14
876	1	3	4	15
877	1	3	4	16
878	1	3	4	17
879	1	3	4	18
880	1	3	4	19
881	1	3	4	20
882	1	3	4	21
883	1	3	5	1
884	1	3	5	2
885	1	3	5	3
886	1	3	5	4
887	1	3	5	5
888	1	3	5	6
889	1	3	5	7
890	1	3	5	8
891	1	3	5	9
892	1	3	5	10
893	1	3	5	11
894	1	3	5	12
895	1	3	5	13
896	1	3	5	14
897	1	3	5	15
898	1	3	5	16
899	1	3	5	17
900	1	3	5	18
901	1	3	5	19
902	1	3	5	20
903	1	3	5	21
904	1	3	6	1
905	1	3	6	2
906	1	3	6	3
907	1	3	6	4
908	1	3	6	5
909	1	3	6	6
910	1	3	6	7
911	1	3	6	8
912	1	3	6	9
913	1	3	6	10
914	1	3	6	11
915	1	3	6	12
916	1	3	6	13
917	1	3	6	14
918	1	3	6	15
919	1	3	6	16
920	1	3	6	17
921	1	3	6	18
922	1	3	6	19
923	1	3	6	20
924	1	3	6	21
925	1	3	7	1
926	1	3	7	2
927	1	3	7	3
928	1	3	7	4
929	1	3	7	5
930	1	3	7	6
931	1	3	7	7
932	1	3	7	8
933	1	3	7	9
934	1	3	7	10
935	1	3	7	11
936	1	3	7	12
937	1	3	7	13
938	1	3	7	14
939	1	3	7	15
940	1	3	7	16
941	1	3	7	17
942	1	3	7	18
943	1	3	7	19
944	1	3	7	20
945	1	3	7	21
946	1	3	8	1
947	1	3	8	2
948	1	3	8	3
949	1	3	8	4
950	1	3	8	5
951	1	3	8	6
952	1	3	8	7
953	1	3	8	8
954	1	3	8	9
955	1	3	8	10
956	1	3	8	11
957	1	3	8	12
958	1	3	8	13
959	1	3	8	14
960	1	3	8	15
961	1	3	8	16
962	1	3	8	17
963	1	3	8	18
964	1	3	8	19
965	1	3	8	20
966	1	3	8	21
967	1	3	9	1
968	1	3	9	2
969	1	3	9	3
970	1	3	9	4
971	1	3	9	5
972	1	3	9	6
973	1	3	9	7
974	1	3	9	8
975	1	3	9	9
976	1	3	9	10
977	1	3	9	11
978	1	3	9	12
979	1	3	9	13
980	1	3	9	14
981	1	3	9	15
982	1	3	9	16
983	1	3	9	17
984	1	3	9	18
985	1	3	9	19
986	1	3	9	20
987	1	3	9	21
988	1	3	10	1
989	1	3	10	2
990	1	3	10	3
991	1	3	10	4
992	1	3	10	5
993	1	3	10	6
994	1	3	10	7
995	1	3	10	8
996	1	3	10	9
997	1	3	10	10
998	1	3	10	11
999	1	3	10	12
1000	1	3	10	13
1001	1	3	10	14
1002	1	3	10	15
1003	1	3	10	16
1004	1	3	10	17
1005	1	3	10	18
1006	1	3	10	19
1007	1	3	10	20
1008	1	3	10	21
1009	1	3	11	1
1010	1	3	11	2
1011	1	3	11	3
