protein,strain_1,strain_2,strain_3,strain_4,overall_mean,posterior_max
Prot609,3.909458659740621,1.9581921270791356,0.29876311050539783,1.2985588389097555,1.8662431840587277,0.999274618027687
Prot9,2.5609109506212437,2.84764829831629,0.0042589852275509155,2.0333682207214974,1.8615466137216456,0.9998995766804503
Prot1800,1.4010056743341515,2.7537820420979897,1.7215221164366905,1.4747621299958074,1.8377679907161597,0.9945363913279035
Prot34,4.625893405967279,0.44228954980301927,1.890256347010257,0.3776322479156309,1.8340178876740465,0.9931222102101943
Prot368,2.966598557727981,1.3730259907723312,1.5713568066413803,1.411687183689642,1.8306671347078336,0.9780900272966909
Prot2405,1.1120631519017505,2.841939572791498,1.0475500017330528,2.299528512867722,1.825270309823506,0.9484709444517881
Prot2169,1.1525275450266583,3.0156076478501688,1.569110375941749,1.547584876032294,1.8212076112127176,0.9985331430119897
Prot1461,3.0928515932941165,1.17369455498745,1.4526805998137382,1.4144895785830205,1.7834290816695813,0.9668017378473653
Prot763,0.11008045441947101,2.9883404714164143,0.3819661327421273,3.613358289171176,1.7734363369372972,0.9966459489189048
Prot2481,1.2178520709935856,2.5712610641706526,1.8566362639134117,1.435756908065987,1.7703765767859094,0.9810420391214579
Prot2419,0.4374017896762571,4.269234525608546,0.024742312842042757,2.3176075033733787,1.7622465328750563,0.9999999877957589
Prot412,0.5304369537413927,3.632387309251663,0.02637145226537424,2.5934386832232543,1.6956585996204212,0.9999958292150939
Prot1838,3.211754716906558,1.0858129236689582,0.2668572128751531,2.1387250483465627,1.675787475449308,0.9492936453348523
Prot321,2.3416922522817756,1.4583137922043745,0.3003169635453326,2.602765505614426,1.6757721284114773,0.923261768970405
Prot311,0.7503535966410251,2.815420181834776,2.1047673209948954,1.000599292137226,1.6677850979019806,0.9999487206711676
Prot853,1.9101238212831717,2.247973478843538,0.8889185013891988,1.613772981809321,1.6651971958313074,0.9561078917949913
Prot1140,2.9892294810237985,1.0815143461465868,1.7865640054798233,0.7508289261508798,1.6520341897002722,0.9801330844970773
Prot1158,0.8451721324055087,4.812881645609833,0.21476329247898684,0.7147192440080736,1.6468840786256005,0.9999999999998046
Prot1904,2.5573370491482548,2.113727160958351,1.305971779614122,0.589410469999921,1.641611614930162,0.9997937601838667
Prot1303,2.5631147083428,1.5570539770399354,0.6070521878234686,1.715143220446122,1.6105910234130814,0.9811660979545318
Prot2407,4.040718313481005,0.5820224397576335,1.2903597858115539,0.5188435381361018,1.6079860192965736,0.987931532350151
Prot1481,0.3381842199773713,3.79856728017674,0.4485322771462368,1.7532279943832478,1.584627942920899,0.9999998824955403
Prot2042,2.319843692786939,1.478721028024544,1.5815756134348569,0.7787227609375146,1.5397157737959637,0.9902871005123757
Prot662,1.4653827582978387,2.0574037601485387,2.2491056327641012,0.3664539782423741,1.534586532363213,0.9994350134151969
Prot8,2.615515763235124,1.544660126680118,1.2975182799359213,0.61908829201689,1.5191956154670132,0.9966652392995902
Prot211,0.40731572782474307,3.9857080560093388,0.5425336201452563,1.0947950689990646,1.5075881182446007,0.9999999974336262
Prot970,1.3949288530007877,2.406892219676928,0.31766348215364143,1.8348536781794402,1.4885845582526993,0.9742280851471312
Prot231,2.7480247672712856,0.9931472927147316,1.570390814082221,0.6320800824134505,1.4859107391204223,0.9742102652438172
Prot2245,0.8157890569511106,2.3355268809827185,1.7038095122426835,0.9827465645895375,1.4594680036915124,0.9896798033361781
Prot611,3.9263729737840993,0.7876869262271733,0.8586386621994577,0.21449906074620695,1.4467994057392344,0.9946979950522987
