"","male.white.0.9","female.white.0.9","male.all.0.9","female.all.0.9","male.white.10.14","female.white.10.14","male.all.10.14","female.all.10.14","male.white.15.19","female.white.15.19","male.all.15.19","female.all.15.19","male.white.20.24","female.white.20.24","male.all.20.24","female.all.20.24","male.white.25.34","female.white.25.34","male.all.25.34","female.all.25.34","male.white.35.44","female.white.35.44","male.all.35.44","female.all.35.44","male.white.45.54","female.white.45.54","male.all.45.54","female.all.45.54","male.white.55.64","female.white.55.64","male.all.55.64","female.all.55.64","male.white.65.74","female.white.65.74","male.all.65.74","female.all.65.74","male.white.75.","female.white.75.","male.all.75.","female.all.75."
"6451",710,978,1589.187,1672.99,474,375,994.671,811.525,462,404,800.31,749.1,418,577,628.815,886.435,815,1014,1269.063,1623.05,1145,1173,1703.517,1785.355,1490,1470,1783.548,1747.9,1086,1306,1360.527,1460.745,634,814,800.31,986.315,465,774,514.485,786.555
"6455",155,251,202.92,320.231,133,111,140.353,110.918,99,98,101.46,107.34,89,82,89.623,82.294,122,116,123.443,153.854,217,290,253.65,298.763,324,253,326.363,254.038,243,218,243.504,218.258,113,162,113.297,175.322,97,70,96.387,69.771
"6456",22,0,21.888,0,0,9,0,8.96,9,0,8.968,0,0,0,0,0,0,0,0,0,12,21,12.008,20.992,10,0,10.032,0,43,90,43.016,89.984,56,8,55.936,8.064,0,0,0,0
"6457",1601,1681,2405.988,2532.864,756,793,1316.484,1266.432,1266,1029,1861.236,1738.24,1255,1554,1656.954,2110.72,3053,2909,3858.66,3848.96,2335,2211,3109.626,3252.992,2759,2792,3404.7,3600.64,2287,2384,2678.364,2781.184,1136,1571,1361.88,1837.568,981,1802,1021.41,1887.232
"6460",1593,1427,2043.843,1875.84,1054,1156,1215.258,1309.18,955,868,1031.128,1016.08,964,708,1049.541,801.14,2059,2027,2596.233,2422.96,2069,2296,2467.342,2735.6,2984,3047,3222.275,3243.64,2424,2502,2522.581,2618.36,1111,1555,1215.258,1719.52,1044,1706,1049.541,1797.68
"6461",737,549,978.046,711.072,577,332,604.746,474.048,380,317,447.96,362.943,254,238,298.64,296.28,647,547,768.998,637.002,933,1034,1015.376,1236.969,1237,1216,1306.55,1325.853,848,848,903.386,851.805,499,613,537.552,637.002,546,805,604.746,866.619
"6467",0,0,0,0,0,1,0,0.996,0,0,0.99,0,0,0,0,0,0,0,0,0,12,11,12.012,11.004,0,0,0,0,11,0,10.989,0,0,0,0,0,9,0,9.009,0
"6468",1147,1022,1256.421,1063.366,980,554,1093.374,616.156,733,849,757.689,874.544,341,358,345.276,357.768,548,755,633.006,775.164,1327,1495,1361.922,1580.142,1464,1625,1601.697,1719.274,1523,1384,1544.151,1401.258,581,852,594.642,854.668,435,668,431.595,695.66
"6469",68,229,68.716,254.683,177,160,212.852,159.874,125,115,125.7,115.258,86,0,85.476,0,186,273,186.036,273.273,291,213,289.948,213.785,276,337,315.088,351.351,231,201,231.288,230.516,70,104,70.392,104.104,92,150,92.18,156.156
"6470",729,918,816.5,968.64,702,683,759.345,718.408,805,540,865.49,613.472,296,356,416.415,379.384,371,325,489.9,330.952,956,1072,1118.605,1154.296,1485,1500,1681.99,1622.472,1088,1063,1143.1,1089.72,453,638,457.24,645.76,400,560,416.415,565.04
"6471",230,240,341.136,284.76,241,249,252.144,264.985,255,232,274.392,253.12,140,77,163.152,98.875,415,374,415.296,391.545,440,387,526.536,435.05,492,751,493.164,763.315,699,540,719.352,541.835,247,325,248.436,340.13,274,585,274.392,585.34
"6472",267,426,300.828,428.022,326,203,325.314,202.398,295,220,318.318,218.988,247,138,248.358,139.356,208,213,220.374,268.758,573,499,573.672,497.7,543,633,542.19,633.738,447,451,444.246,451.248,388,318,419.76,331.8,103,143,104.94,142.674
"6473",916,1181,1045.572,1382.172,703,757,751.872,884.092,664,548,798.864,585.244,487,441,552.156,473.176,941,830,1127.808,971.256,1304,1342,1421.508,1506.692,1874,1809,2044.152,1930.06,1610,1892,1762.2,1930.06,1097,1197,1174.8,1344.816,1037,1344,1080.816,1431.98
"6475",428,381,446.082,407.816,292,365,299.022,391.718,405,360,411.768,359.522,67,127,68.628,128.784,426,311,480.396,332.692,400,436,406.866,488.306,916,901,931.38,917.586,577,824,588.24,842.462,738,785,735.3,788.802,523,706,524.514,719.044
"6477",690,699,802.164,897.246,387,335,455.466,413.018,393,382,509.85,448.623,381,217,401.082,213.63,434,337,564.234,562.559,644,768,788.568,861.641,932,1083,1135.266,1288.901,956,890,1019.7,996.94,419,435,482.658,484.228,628,923,639.012,932.851
"6478",765,778,767.791,808.92,365,579,363.382,593.208,313,546,334.077,546.021,302,240,304.772,256.158,411,462,410.27,471.87,968,868,1008.092,883.071,976,1150,1031.536,1193.157,878,1106,890.872,1139.229,546,507,545.073,505.575,212,337,210.996,337.05
"6479",605,499,628.201,530.6,388,245,385.367,259.994,227,213,226.997,228.158,140,147,142.533,148.568,514,403,585.969,440.398,746,887,765.455,917.938,1129,892,1134.985,917.938,599,626,633.48,679.168,432,596,485.668,599.578,280,571,285.066,588.966
"6480",297,448,315.18,467.04,276,400,356.895,423.255,371,282,384.705,301.63,281,203,292.005,204.33,272,332,296.64,384.335,672,723,750.87,773.535,910,864,922.365,885.43,623,603,625.725,603.26,410,474,407.88,476.77,275,351,278.1,350.28
"6481",28,34,28.275,34.237,7,48,6.96,48.034,44,63,43.935,62.853,18,9,17.835,29.127,0,20,0,19.929,67,62,66.99,61.831,118,84,118.32,84.315,74,56,73.95,55.699,37,50,36.975,50.078,42,65,41.76,64.897
